"Disaster Number","State","County","Program Area","Project Identifier","Application ID","Primary Hazard","Type","Project Title","Project Counties","Status","Subgrantee","Cost Share Percentage","Federal Share Proposed","Project Amount","Federal Share Obligated","Non Federal Share","Date Initially Approved","Date Awarded","Date Approved","Date Closed","Subgrantee Tribal Indicator","Phased Project","Date Received","Date Submitted","Environmental Document Type"
"845","California","San Francisco","HMGP","DR-0845-0050-R","","","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic","RETROFIT HOSPITAL BOILER PLANT","SAN FRANCISCO","Closed","SAN FRANCISCO COUNTY","0.5","1774520","3549040","1774520","1774520","","","1992/04/09 00:00:00","2000/06/14 00:00:00","","","1992/03/05 00:00:00","","FONSI"
"845","California","San Francisco","HMGP","DR-0845-0121-R","","","601.1: Generators","EMERGENCY POWER FOR SF DEPT. OF PUBLIC HEALTH CENTRAL OFF.","SAN FRANCISCO","Closed","SAN FRANCISCO COUNTY","0.5","37500","75000","37500","37500","","","1997/09/16 00:00:00","2001/06/08 00:00:00","","","1995/04/26 00:00:00","","CATEX"
"845","California","San Francisco","HMGP","DR-0845-0122-R","","","601.1: Generators","SF GENERAL HOSPITAL POWER PLANT UNINTERRUPTED POWER SYSTEM","SAN FRANCISCO","Withdrawn","SAN FRANCISCO COUNTY","","","","","","","","","1996/11/04 00:00:00","","","1995/04/26 00:00:00","","N/A"
"845","California","San Francisco","HMGP","DR-0845-0080-R","","","400.1: Utility Protective Measures (Electric, Gas, etc.)","HARDEN E911-PROVIDE ALTERNATIVE PSAP","SAN FRANCISCO","Closed","SAN FRANCISCO COUNTY","0.5","155000","310000","155000","155000","","","1992/04/09 00:00:00","1999/07/02 00:00:00","","","1992/03/10 00:00:00","","CATEX"
"845","California","San Francisco","HMGP","DR-0845-0034-R","","","205.4: Non Structural Retrofitting/Rehabilitating Public Structures - Seismic","SEISMIC ANCHORING OF LIQUID OXYGEN TANKS FOR MED CTR.","SAN FRANCISCO","Closed","University of California","0.446215","89243","200000","89243","110757","","","1991/02/21 00:00:00","1997/09/10 00:00:00","","","1990/12/17 00:00:00","","CATEX"
"845","California","San Mateo","HMGP","DR-0845-0101-R","","","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic","WOODSIDE FPD FIRE STATION SEISMIC RETROFIT","SAN MATEO","Closed","WOODSIDE","0.50000102","244674","489347","244674","244673","","","1997/09/16 00:00:00","1999/08/12 00:00:00","","","1995/02/18 00:00:00","","CATEX"
"845","California","San Mateo","HMGP","DR-0845-0051-R","","","205.4: Non Structural Retrofitting/Rehabilitating Public Structures - Seismic","SEISMIC REINFORCEMENT OF CITY HALL.","SAN MATEO","Closed","HALF MOON BAY","0.5","120000","240000","120000","120000","","","1992/04/09 00:00:00","1995/05/10 00:00:00","","","1992/03/05 00:00:00","","CATEX"
"845","California","Santa Clara","HMGP","DR-0845-0114-R","","","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic","SAN JOSE UNREINFORCED MASONRY BLDGS. SEISMIC RETROFITS","SANTA CLARA","Withdrawn","SAN JOSE REDEVELOPMENT","0","0","0","0","0","","","","1997/04/18 00:00:00","","","1995/02/18 00:00:00","","N/A"
"845","California","Statewide","HMGP","DR-0845-0086-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","STATE EMERGENCY PUBLIC INFORMATION TRAINING & MANUAL DEV","STATEWIDE","Withdrawn","Office of Emergency","0","0","0","0","0","","","1992/04/09 00:00:00","1997/01/31 00:00:00","","","1992/03/10 00:00:00","","N/A"
"845","California","Statewide","HMGP","DR-0845-0035-R","","","205.4: Non Structural Retrofitting/Rehabilitating Public Structures - Seismic","PROVIDE PHYSICAL BARRIERS FOR CHEMICALS IN CLINICAL USE","STATEWIDE","Withdrawn","University of California","0","0","0","0","0","","","1996/03/12 00:00:00","1996/03/15 00:00:00","","","1990/12/17 00:00:00","","CATEX"
"845","California","Statewide","HMGP","DR-0845-0109-R","","","401.1: Water and Sanitary Sewer System Protective Measures","UC SANTA CRUZ EMERGENCY WATER STORAGE","STATEWIDE","Withdrawn","University of California","","","","","","","","","1997/04/16 00:00:00","","","1995/02/18 00:00:00","","N/A"
"845","California","Statewide","HMGP","DR-0845-M003-M","","","700.1: Management Costs - Salaries","STATE MANAGEMENT COST","STATEWIDE","Closed","Office of Emergency Services","0.5","31576","63152","31576","31576","","","1991/12/31 00:00:00","1991/12/31 00:00:00","","","1991/12/31 00:00:00","","N/A"
"845","California","Statewide","HMGP","DR-0845-M001-M","","","700.1: Management Costs - Salaries","STATE MANAGEMENT COST","STATEWIDE","Closed","Office of Emergency Services","0.5","38000","76000","38000","38000","","","1991/02/26 00:00:00","1991/02/26 00:00:00","","","1991/02/26 00:00:00","","N/A"
"845","California","Statewide","HMGP","DR-0845-0096-R","","","205.4: Non Structural Retrofitting/Rehabilitating Public Structures - Seismic","UCSF NONSTRUCTURAL SEISMIC HAZARD MITIGATION","STATEWIDE","Withdrawn","University of California","","","","","","","","","1997/04/16 00:00:00","","","1996/02/18 00:00:00","","N/A"
"845","California","Statewide","HMGP","DR-0845-0097-R","","","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic","UC BERKELEY UNIVERSITY HOUSE SEISMIC STRENGTHENING","STATEWIDE","Withdrawn","University of California","","","","","","","","","1997/04/16 00:00:00","","","1995/06/18 00:00:00","","N/A"
"845","California","Alameda","HMGP","DR-0845-0074-R","","","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic","SEISMIC RETROFIT-FIRE STATIONS 2, 3, 4, 5, 6, & YARD BLDG.","ALAMEDA","Closed","Hayward","0.5","490000","980000","490000","490000","","","1992/04/09 00:00:00","1997/09/23 00:00:00","","","1992/03/17 00:00:00","","CATEX"
"845","California","Alameda","HMGP","DR-0845-0078-R","","","501.1: Other Major Structural Projects","CONSTRUCTION OF AN EMERGENCY WATER TANK","ALAMEDA","Withdrawn","Children's Hospital","0","9873","19745","0","0","","","","1996/09/19 00:00:00","","","1992/05/07 00:00:00","","N/A"
"845","California","Alameda","HMGP","DR-0845-0057-R","","","601.1: Generators","EMERGENCY POWER RETROFIT FOR HIGHLAND & FAIRMONT HOSPITAL","ALAMEDA","Closed","Alameda County","0.49999961","641900","1283801","641900","641901","","","1993/01/06 00:00:00","1998/03/26 00:00:00","","","1992/12/24 00:00:00","","CATEX"
"845","California","Alameda","HMGP","DR-0845-0010-R","","","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic","CRAGMONT ELEMENTARY SCHOOL","ALAMEDA","Closed","Berkeley Unified School Dist.","0.49999482","4824000","9648000","4824000","4824100","","","1997/01/14 00:00:00","2000/11/07 00:00:00","","","1990/12/17 00:00:00","","FONSI"
"845","California","Alameda","HMGP","DR-0845-0016-R","","","601.1: Generators","EMERGENCY POWER, EDEN FIRE STATION #3","ALAMEDA","Closed","Eden Consolidated Fire Dept.","0.5","9000","18000","9000","9000","","","1991/12/31 00:00:00","1995/04/20 00:00:00","","","1991/01/01 00:00:00","","FONSI"
"845","California","Alameda","HMGP","DR-0845-0094-R","","","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic","SEISMIC UPGRADE, WHITTIER/ARTS MAGNET SCHOOL","ALAMEDA","Closed","Berkeley Unified School Dist.","0.5","1732514","3465028","1732514","1732514","","","1992/04/09 00:00:00","1996/05/07 00:00:00","","","1992/03/17 00:00:00","","CATEX"
"845","California","Alameda","HMGP","DR-0845-0021-R","","","601.1: Generators","INSTALL DIESEL GENERATOR FOR FIRE STATION #2","ALAMEDA","Closed","Castro Valley Fire Dept.","0.5","10095","20190","10095","10095","","","1991/02/21 00:00:00","1995/04/20 00:00:00","","","1990/12/17 00:00:00","","CATEX"
"845","California","Alameda","HMGP","DR-0845-0020-R","","","601.1: Generators","EMERGENCY POWER - EDEN FIRE STATION #1","ALAMEDA","Closed","Eden Consolidated Fire Dept.","0.5","9000","18000","9000","9000","","","1991/12/31 00:00:00","1995/04/20 00:00:00","","","1991/01/01 00:00:00","","FONSI"
"845","California","Alameda","HMGP","DR-0845-0019-R","","","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic","SESEISMIC RETROFIT OF FIRE PROTECTION SYSTEMS","ALAMEDA","Withdrawn","Children's Hospital","0","0","0","0","0","","","1991/09/16 00:00:00","1996/09/25 00:00:00","","","1990/12/17 00:00:00","","CATEX"
"845","California","Alameda","HMGP","DR-0845-0116-R","","","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic","CARNEGIE MAIN LIBRARY SEISMIC RETROFIT","ALAMEDA","Closed","Alameda","0.5","1961568","3923136","1961568","1961568","","","1996/12/16 00:00:00","2003/12/18 00:00:00","","","1996/02/23 00:00:00","","CATEX"
"845","California","Alameda","HMGP","DR-0845-0012-R","","","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic","SATHER GATE GARAGE AND MALL STRUCTURAL RETROFIT","ALAMEDA","Closed","Berkeley","0.44999995","1397721","3106047","1397721","1708326","","","1991/02/21 00:00:00","1999/08/13 00:00:00","","","1990/12/17 00:00:00","","CATEX"
"845","California","Alameda","HMGP","DR-0845-0013-R","","","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic","BERKELEY INN SEISMIC RETROFIT","ALAMEDA","Withdrawn","Berkeley","","","","","","","","","1996/09/25 00:00:00","","","1991/01/25 00:00:00","","N/A"
"845","California","Alameda","HMGP","DR-0845-0015-R","","","201.3: Relocation of Public Structures - Riverine","RELOCATION OF FIRE STATION #1","ALAMEDA","Closed","Hayward","0.5","1593000","3834000","1593000","1593000","","","1994/05/03 00:00:00","1998/05/30 00:00:00","","","1992/08/26 00:00:00","","FONSI"
"845","California","Alameda","HMGP","DR-0845-0070-R","","","205.4: Non Structural Retrofitting/Rehabilitating Public Structures - Seismic","NONSSTRUCTURAL HAZARD REDUCTION & EMERGENCY PREPAREDNESS","ALAMEDA","Withdrawn","Oakland","0","0","0","0","0","","","1992/10/12 00:00:00","2001/01/04 00:00:00","","","1991/01/01 00:00:00","","CATEX"
"845","California","Alameda","HMGP","DR-0845-0079-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","EMERGENCY PUBLIC INFORMATION","ALAMEDA","Closed","Hayward","0.5","10040","20080","10040","10040","","","1992/04/09 00:00:00","1998/04/07 00:00:00","","","1992/03/10 00:00:00","","CATEX"
"845","California","Alameda","HMGP","DR-0845-0068-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","PARTNERSHIP FOR PREPAREDNESS","ALAMEDA","Closed","San Leandro","0.5","68500","137000","68500","68500","","","1992/04/09 00:00:00","1995/10/06 00:00:00","","","1992/03/05 00:00:00","","CATEX"
"845","California","Alameda","HMGP","DR-0845-0082-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","COMMUNITY DISASTER PREPAREDNESS PROGRAM","ALAMEDA","Withdrawn","Emeryville","0","0","0","0","0","","","1992/04/09 00:00:00","1997/01/28 00:00:00","","","1992/03/10 00:00:00","","N/A"
"845","California","Alameda","HMGP","DR-0845-0111-R","","","205.5: Structural Retrofitting/Rehabilitating Private Structures - Seismic","EMERYVILLE RESIDENTIAL SEISMIC RETROFITS","ALAMEDA","Withdrawn","Emeryville","","","","","","","","","1996/09/26 00:00:00","","","1995/02/18 00:00:00","","N/A"
"5154","Nevada","Elko","HMGP","DR-5154-0013-R","13","Fire","300.2: Vegetation Management - Wildfire","NDOW - Hunter Hazardous Fuels Mitigation","ELKO","Closed","NEVADA  DEPARTMENT OF WILDLIFE","0.75","80100.75","106801","","26700","","","","2021/04/20 00:00:00","No","","2019/01/26 00:00:00","2019/03/12 00:00:00",""
"4240","California","Del Norte","HMGP","DR-4240-0014-P","107","","91.5: Local Multijurisdictional Multihazard Mitigation Plan - UPDATE","Del Norte Mulit-Jurisdictional Hazard Mitigation Plan Update","DEL NORTE","Closed","Del Norte (County)","0.75","132459.75","176613","132460","44153","2016/07/25 00:00:00","","2019/07/17 00:00:00","2019/07/17 00:00:00","No","No","2019/07/17 00:00:00","2019/07/17 00:00:00","CATEX"
"5316","Nevada","Washoe","HMGP","DR-5316-0004","2","Fire","300.2: Vegetation Management - Wildfire","TMFPD Numbers Fuels Reduction, Seeding, & Defense Space Washoe Lake State Park","WASHOE","Pending","TRUCKEE MEADOWS FIRE PROTECTION DISTRICT","0.75","604564.5","806086","","201521.5","","","","","No","","","2021/10/05 00:00:00",""
"5380","California","Siskiyou","HMGP","DR-5380-0005","539","Fire","205.1: Retrofitting Private Structures - Wildfire; 300.2: Vegetation Management - Wildfire","KTHA Defensible Space, Fuels Reduction, Ignition Resistant Retrofit Project","SISKIYOU","Pending","KARUK TRIBE","0.75","1875000","2500000","","625000","","","","","No","","","2021/11/24 00:00:00",""
"1446","Guam","Guam","HMGP","DR-1446-0021-R","8","Typhoon","400.1: Utility Protective Measures (Electric, Gas, etc.)","GIAA- Utility Power Hardening for Critical Airport Facilities, Tiyan (South)","GUAM","Closed","GUAM INTERNATIONAL AIRPORT AUTHORITY","0.9","4086999","4541110","4086999","454111","2004/11/18 00:00:00","","2010/04/19 00:00:00","2013/12/05 18:43:53","No","","2010/04/14 00:00:00","2010/04/14 00:00:00","CATEX"
"4382","California","Humboldt","HMGP","DR-4382-0034","114","Fire","200.5: Acquisition of Vacant Land"," + WCCSD Creekside Park Acquisition","HUMBOLDT","Pending","WILLOW CREEK COMMUNITY SERVICES DISTRICT","0.75","290490","387320","","96830","","","","","No","","","2019/08/02 00:00:00",""
"4382","California","Mariposa","HMGP","DR-4382-0011-R","111","","401.1: Water and Sanitary Sewer System Protective Measures","Mariposa County Natural Disaster Water Storage Project","MARIPOSA","Pending","Mariposa (County)","0.75","2518050","3357400","","839350","","","","","No","No","2020/10/02 00:00:00","2019/08/02 00:00:00","CATEX"
"4240","California","Sonoma","HMGP","DR-4240-0005-R","5","Flood","202.3: Elevation of Public Structures - Riverine","Sonoma County Flood Elevation Program","SONOMA","Closed","SONOMA COUNTY EMERGENCY SVC","0.7273027","822964.1","1131529","822964.18","308565","2017/07/06 00:00:00","","2020/08/21 00:00:00","2020/08/21 00:00:00","No","No","2020/08/11 00:00:00","2020/08/11 00:00:00","CATEX"
"4382","California","Lake","HMGP","DR-4382-0002-R","112","Fire","205.2: Retrofitting Public Structures - Wildfire","HVLCSD Water System Storage Reliability Project","LAKE","Approved","Hidden Valley Lake","0.75","1387655.25","1850207","1387655.25","462551.75","2022/02/03 00:00:00","","2022/02/03 00:00:00","","No","No","2020/06/11 00:00:00","2019/08/02 00:00:00","EA"
"4382","California","Napa","HMGP","DR-4382-0022-P","254","","91.3: Local Multihazard Mitigation Plan - UPDATE","7% Napa, City of, LMHMP - UPDATE","NAPA","Approved","Napa","0.75","75000","100000","75000","25000","2020/04/07 00:00:00","","2020/04/07 00:00:00","","No","No","2020/03/26 00:00:00","2019/08/02 00:00:00","CATEX"
"5154","Nevada","Statewide","HMGP","DR-5154-0002-F","2","Fire","600.1: Warning Systems (as a Component of a Planned, Adopted, and Exercised Risk Reduction Plan)","NDF - Post Fire Mobile Emergency Weather Stations","STATEWIDE","Closed","NEVADA DIVISION OF FORESTRY","0.75","43759.98","58346.64","43759.98","14586.66","2019/03/18 00:00:00","","2021/05/07 00:00:00","2021/10/01 02:48:24","No","No","2021/04/22 00:00:00","2021/04/22 00:00:00","CATEX"
"1446","Guam","Guam","HMGP","DR-1446-0035-R","27","Typhoon","205.8: Retrofitting Public Structures - Wind","DOC- Hardening Perimeter Fence Line","GUAM","Closed","DEPARTMENT OF CORRECTIONS","0.9","290700","323000","290700","32300","2004/11/22 00:00:00","","2010/11/16 00:00:00","2013/12/05 20:36:53","No","","2010/10/23 00:00:00","2010/10/23 00:00:00","CATEX"
"1397","Guam","Guam","HMGP","DR-1397-0001-R","1","Typhoon","205.8: Retrofitting Public Structures - Wind","GMHA Power Plant and Generator Walkway Enclosure","GUAM","Closed","GUAM MEMORIAL HOSPITAL","1","187392","187392","187392","0","2003/04/21 00:00:00","","2006/01/18 00:00:00","2013/09/26 17:41:20","No","","2006/01/18 00:00:00","2006/01/18 00:00:00","CATEX"
"1541","Northern Mariana Islands","Tinian","HMGP","DR-1541-0003-R","3","Typhoon","205.8: Retrofitting Public Structures - Wind","Tinian-CREES Harden Roof and Shutters Project","TINIAN","Closed","NORTHERN MARIANAS COLLEGE","0.9","35999.1","39999","35999","4000","2006/07/10 00:00:00","","2013/03/27 00:00:00","2014/02/03 21:36:57","No","","2013/03/27 00:00:00","2013/03/27 00:00:00","CATEX"
"4382","California","Riverside","HMGP","DR-4382-0053","170","","601.1: Generators"," + 5% Western Municipal Water District, Purchasing Emergency Generators","RIVERSIDE","Pending","WESTERN MUNICIPAL WATER DISTRICT","0.75","568500","758000","","189500","","","","","No","","","2019/08/02 00:00:00",""
"1541","Northern Mariana Islands","Statewide","HMGP","DR-1541-0001-M","2","Typhoon","700.1: Management Costs - Salaries; 700.2: Management Costs - Equipment; 700.4: Management Costs - Supplies","State Management Cost","STATEWIDE","Closed","OFFICE OF THE GOV. - EMERGENCY MGMT OFFICE","0.9","172903.5","192115","172904","19211","2006/01/11 00:00:00","","2014/12/05 00:00:00","2015/01/23 16:26:39","No","","2014/12/05 00:00:00","2014/12/05 00:00:00","CATEX"
"4206","California","Riverside","HMGP","DR-4206-0002-M","1","Flood","700.2: Management Costs - Equipment","Soboba Management Costs","RIVERSIDE","Approved","Soboba Indian Reservation","1","6841","6841","6841","0","2016/09/01 00:00:00","","2016/09/01 00:00:00","","Yes","","2016/06/14 00:00:00","2016/06/14 00:00:00","CATEX"
